item_id,supplier_id,supplier_type,supplier_price,lead_time_days,reliability_score,quality_score,fill_rate,risk_score,capacity_units
HOUSEHOLD_1_514,SUP003,Balanced,3.78,10,84,81,87,20,7000
HOUSEHOLD_1_514,SUP010,Emergency,5.46,2,85,83,86,11,3000
HOUSEHOLD_1_514,SUP005,Balanced,3.69,8,88,80,90,24,7000
HOUSEHOLD_1_514,SUP004,Balanced,3.65,6,84,80,91,27,7000
HOUSEHOLD_1_494,SUP001,Strategic,9.06,10,97,94,98,11,10000
HOUSEHOLD_1_494,SUP009,Emergency,11.82,4,91,91,97,12,3000
HOUSEHOLD_1_494,SUP005,Balanced,7.95,8,88,80,90,24,7000
HOUSEHOLD_1_494,SUP003,Balanced,8.34,10,84,81,87,20,7000
FOODS_2_131,SUP002,Strategic,6.57,9,97,94,95,7,10000
FOODS_2_131,SUP004,Balanced,5.84,6,84,80,91,27,7000
FOODS_2_131,SUP001,Strategic,6.64,10,97,94,98,11,10000
FOODS_2_131,SUP005,Balanced,6.09,8,88,80,90,24,7000
FOODS_2_347,SUP009,Emergency,2.9,4,91,91,97,12,3000
FOODS_2_347,SUP001,Strategic,2.43,10,97,94,98,11,10000
FOODS_2_347,SUP005,Balanced,2.01,8,88,80,90,24,7000
FOODS_2_347,SUP002,Strategic,2.35,9,97,94,95,7,10000
HOUSEHOLD_1_497,SUP009,Emergency,21.37,4,91,91,97,12,3000
HOUSEHOLD_1_497,SUP004,Balanced,15.41,6,84,80,91,27,7000
HOUSEHOLD_1_497,SUP005,Balanced,15.65,8,88,80,90,24,7000
HOUSEHOLD_1_497,SUP003,Balanced,15.25,10,84,81,87,20,7000
FOODS_2_349,SUP003,Balanced,6.47,10,84,81,87,20,7000
FOODS_2_349,SUP010,Emergency,8.74,2,85,83,86,11,3000
FOODS_2_349,SUP009,Emergency,8.7,4,91,91,97,12,3000
FOODS_2_349,SUP005,Balanced,6.26,8,88,80,90,24,7000
FOODS_2_183,SUP005,Balanced,9.39,8,88,80,90,24,7000
FOODS_2_183,SUP002,Strategic,10.43,9,97,94,95,7,10000
FOODS_2_183,SUP004,Balanced,8.99,6,84,80,91,27,7000
FOODS_2_183,SUP003,Balanced,9.64,10,84,81,87,20,7000
HOUSEHOLD_1_066,SUP005,Balanced,3.11,8,88,80,90,24,7000
HOUSEHOLD_1_066,SUP009,Emergency,4.2,4,91,91,97,12,3000
HOUSEHOLD_1_066,SUP002,Strategic,3.28,9,97,94,95,7,10000
HOUSEHOLD_1_066,SUP010,Emergency,4.33,2,85,83,86,11,3000
HOUSEHOLD_1_409,SUP003,Balanced,3.09,10,84,81,87,20,7000
HOUSEHOLD_1_409,SUP001,Strategic,3.34,10,97,94,98,11,10000
HOUSEHOLD_1_409,SUP004,Balanced,3.04,6,84,80,91,27,7000
HOUSEHOLD_1_409,SUP010,Emergency,4.01,2,85,83,86,11,3000
FOODS_2_029,SUP010,Emergency,14.35,2,85,83,86,11,3000
FOODS_2_029,SUP002,Strategic,11.82,9,97,94,95,7,10000
FOODS_2_029,SUP009,Emergency,15.14,4,91,91,97,12,3000
FOODS_2_029,SUP001,Strategic,12.16,10,97,94,98,11,10000
HOUSEHOLD_1_165,SUP001,Strategic,21.06,10,97,94,98,11,10000
HOUSEHOLD_1_165,SUP004,Balanced,18.54,6,84,80,91,27,7000
HOUSEHOLD_1_165,SUP002,Strategic,19.98,9,97,94,95,7,10000
HOUSEHOLD_1_165,SUP003,Balanced,18.55,10,84,81,87,20,7000
HOUSEHOLD_1_140,SUP009,Emergency,20.67,4,91,91,97,12,3000
HOUSEHOLD_1_140,SUP002,Strategic,17.03,9,97,94,95,7,10000
HOUSEHOLD_1_140,SUP003,Balanced,14.96,10,84,81,87,20,7000
HOUSEHOLD_1_140,SUP010,Emergency,21.87,2,85,83,86,11,3000
FOODS_1_170,SUP001,Strategic,6.12,10,97,94,98,11,10000
FOODS_1_170,SUP004,Balanced,5.81,6,84,80,91,27,7000
FOODS_1_170,SUP003,Balanced,5.65,10,84,81,87,20,7000
FOODS_1_170,SUP002,Strategic,6.47,9,97,94,95,7,10000
FOODS_2_293,SUP002,Strategic,4.56,9,97,94,95,7,10000
FOODS_2_293,SUP005,Balanced,4.31,8,88,80,90,24,7000
FOODS_2_293,SUP010,Emergency,5.65,2,85,83,86,11,3000
FOODS_2_293,SUP009,Emergency,5.77,4,91,91,97,12,3000
FOODS_1_012,SUP010,Emergency,7.49,2,85,83,86,11,3000
FOODS_1_012,SUP004,Balanced,5.67,6,84,80,91,27,7000
FOODS_1_012,SUP005,Balanced,5.5,8,88,80,90,24,7000
FOODS_1_012,SUP003,Balanced,5.56,10,84,81,87,20,7000
HOUSEHOLD_1_338,SUP005,Balanced,4.07,8,88,80,90,24,7000
HOUSEHOLD_1_338,SUP003,Balanced,4.02,10,84,81,87,20,7000
HOUSEHOLD_1_338,SUP004,Balanced,3.9,6,84,80,91,27,7000
HOUSEHOLD_1_338,SUP001,Strategic,4.74,10,97,94,98,11,10000
HOUSEHOLD_1_072,SUP010,Emergency,11.18,2,85,83,86,11,3000
HOUSEHOLD_1_072,SUP009,Emergency,11.57,4,91,91,97,12,3000
HOUSEHOLD_1_072,SUP005,Balanced,8.31,8,88,80,90,24,7000
HOUSEHOLD_1_072,SUP004,Balanced,8.19,6,84,80,91,27,7000
FOODS_1_004,SUP002,Strategic,2.15,9,97,94,95,7,10000
FOODS_1_004,SUP001,Strategic,2.17,10,97,94,98,11,10000
FOODS_1_004,SUP005,Balanced,1.98,8,88,80,90,24,7000
FOODS_1_004,SUP003,Balanced,1.91,10,84,81,87,20,7000
FOODS_2_222,SUP010,Emergency,3.4,2,85,83,86,11,3000
FOODS_2_222,SUP003,Balanced,2.51,10,84,81,87,20,7000
FOODS_2_222,SUP004,Balanced,2.66,6,84,80,91,27,7000
FOODS_2_222,SUP009,Emergency,3.64,4,91,91,97,12,3000
HOUSEHOLD_1_469,SUP003,Balanced,18.04,10,84,81,87,20,7000
HOUSEHOLD_1_469,SUP002,Strategic,20.39,9,97,94,95,7,10000
HOUSEHOLD_1_469,SUP009,Emergency,24.98,4,91,91,97,12,3000
HOUSEHOLD_1_469,SUP010,Emergency,24.01,2,85,83,86,11,3000
HOUSEHOLD_1_027,SUP010,Emergency,8.2,2,85,83,86,11,3000
HOUSEHOLD_1_027,SUP002,Strategic,6.44,9,97,94,95,7,10000
HOUSEHOLD_1_027,SUP001,Strategic,7.03,10,97,94,98,11,10000
HOUSEHOLD_1_027,SUP005,Balanced,5.78,8,88,80,90,24,7000
FOODS_2_371,SUP003,Balanced,1.98,10,84,81,87,20,7000
FOODS_2_371,SUP010,Emergency,2.78,2,85,83,86,11,3000
FOODS_2_371,SUP005,Balanced,2.06,8,88,80,90,24,7000
FOODS_2_371,SUP001,Strategic,2.23,10,97,94,98,11,10000
FOODS_2_030,SUP009,Emergency,6.64,4,91,91,97,12,3000
FOODS_2_030,SUP003,Balanced,4.7,10,84,81,87,20,7000
FOODS_2_030,SUP005,Balanced,4.43,8,88,80,90,24,7000
FOODS_2_030,SUP004,Balanced,4.74,6,84,80,91,27,7000
HOUSEHOLD_1_347,SUP001,Strategic,9.36,10,97,94,98,11,10000
HOUSEHOLD_1_347,SUP002,Strategic,8.63,9,97,94,95,7,10000
HOUSEHOLD_1_347,SUP004,Balanced,7.75,6,84,80,91,27,7000
HOUSEHOLD_1_347,SUP003,Balanced,8.1,10,84,81,87,20,7000
HOUSEHOLD_1_429,SUP009,Emergency,4.39,4,91,91,97,12,3000
HOUSEHOLD_1_429,SUP003,Balanced,3.06,10,84,81,87,20,7000
HOUSEHOLD_1_429,SUP010,Emergency,3.98,2,85,83,86,11,3000
HOUSEHOLD_1_429,SUP002,Strategic,3.32,9,97,94,95,7,10000
HOUSEHOLD_1_440,SUP003,Balanced,15.31,10,84,81,87,20,7000
HOUSEHOLD_1_440,SUP005,Balanced,15.31,8,88,80,90,24,7000
HOUSEHOLD_1_440,SUP009,Emergency,22.0,4,91,91,97,12,3000
HOUSEHOLD_1_440,SUP002,Strategic,16.02,9,97,94,95,7,10000
HOUSEHOLD_1_310,SUP001,Strategic,8.45,10,97,94,98,11,10000
HOUSEHOLD_1_310,SUP004,Balanced,7.18,6,84,80,91,27,7000
HOUSEHOLD_1_310,SUP005,Balanced,6.83,8,88,80,90,24,7000
HOUSEHOLD_1_310,SUP003,Balanced,6.92,10,84,81,87,20,7000
FOODS_1_087,SUP005,Balanced,5.61,8,88,80,90,24,7000
FOODS_1_087,SUP009,Emergency,7.9,4,91,91,97,12,3000
FOODS_1_087,SUP003,Balanced,5.77,10,84,81,87,20,7000
FOODS_1_087,SUP004,Balanced,5.55,6,84,80,91,27,7000
HOUSEHOLD_1_177,SUP002,Strategic,8.2,9,97,94,95,7,10000
HOUSEHOLD_1_177,SUP001,Strategic,8.49,10,97,94,98,11,10000
HOUSEHOLD_1_177,SUP009,Emergency,9.83,4,91,91,97,12,3000
HOUSEHOLD_1_177,SUP004,Balanced,6.77,6,84,80,91,27,7000
HOUSEHOLD_1_191,SUP004,Balanced,3.18,6,84,80,91,27,7000
HOUSEHOLD_1_191,SUP005,Balanced,2.99,8,88,80,90,24,7000
HOUSEHOLD_1_191,SUP003,Balanced,3.13,10,84,81,87,20,7000
HOUSEHOLD_1_191,SUP001,Strategic,3.73,10,97,94,98,11,10000
FOODS_2_082,SUP005,Balanced,5.81,8,88,80,90,24,7000
FOODS_2_082,SUP004,Balanced,6.16,6,84,80,91,27,7000
FOODS_2_082,SUP001,Strategic,7.07,10,97,94,98,11,10000
FOODS_2_082,SUP003,Balanced,6.41,10,84,81,87,20,7000
FOODS_2_060,SUP003,Balanced,7.81,10,84,81,87,20,7000
FOODS_2_060,SUP002,Strategic,8.98,9,97,94,95,7,10000
FOODS_2_060,SUP010,Emergency,11.27,2,85,83,86,11,3000
FOODS_2_060,SUP009,Emergency,11.89,4,91,91,97,12,3000
FOODS_1_043,SUP005,Balanced,1.97,8,88,80,90,24,7000
FOODS_1_043,SUP009,Emergency,2.74,4,91,91,97,12,3000
FOODS_1_043,SUP010,Emergency,2.76,2,85,83,86,11,3000
FOODS_1_043,SUP003,Balanced,2.05,10,84,81,87,20,7000
HOUSEHOLD_1_410,SUP004,Balanced,4.44,6,84,80,91,27,7000
HOUSEHOLD_1_410,SUP010,Emergency,5.84,2,85,83,86,11,3000
HOUSEHOLD_1_410,SUP002,Strategic,4.96,9,97,94,95,7,10000
HOUSEHOLD_1_410,SUP005,Balanced,4.25,8,88,80,90,24,7000
FOODS_2_101,SUP002,Strategic,7.01,9,97,94,95,7,10000
FOODS_2_101,SUP010,Emergency,8.51,2,85,83,86,11,3000
FOODS_2_101,SUP009,Emergency,8.66,4,91,91,97,12,3000
FOODS_2_101,SUP003,Balanced,6.17,10,84,81,87,20,7000
HOUSEHOLD_1_457,SUP009,Emergency,14.9,4,91,91,97,12,3000
HOUSEHOLD_1_457,SUP002,Strategic,11.61,9,97,94,95,7,10000
HOUSEHOLD_1_457,SUP001,Strategic,12.13,10,97,94,98,11,10000
HOUSEHOLD_1_457,SUP004,Balanced,10.51,6,84,80,91,27,7000
HOUSEHOLD_1_373,SUP001,Strategic,4.01,10,97,94,98,11,10000
HOUSEHOLD_1_373,SUP004,Balanced,3.44,6,84,80,91,27,7000
HOUSEHOLD_1_373,SUP003,Balanced,3.67,10,84,81,87,20,7000
HOUSEHOLD_1_373,SUP009,Emergency,4.89,4,91,91,97,12,3000
FOODS_2_181,SUP005,Balanced,2.1,8,88,80,90,24,7000
FOODS_2_181,SUP003,Balanced,2.14,10,84,81,87,20,7000
FOODS_2_181,SUP009,Emergency,2.88,4,91,91,97,12,3000
FOODS_2_181,SUP010,Emergency,2.72,2,85,83,86,11,3000
HOUSEHOLD_1_304,SUP005,Balanced,2.2,8,88,80,90,24,7000
HOUSEHOLD_1_304,SUP010,Emergency,2.96,2,85,83,86,11,3000
HOUSEHOLD_1_304,SUP004,Balanced,2.22,6,84,80,91,27,7000
HOUSEHOLD_1_304,SUP009,Emergency,3.27,4,91,91,97,12,3000
FOODS_2_056,SUP002,Strategic,7.96,9,97,94,95,7,10000
FOODS_2_056,SUP005,Balanced,7.01,8,88,80,90,24,7000
FOODS_2_056,SUP010,Emergency,10.05,2,85,83,86,11,3000
FOODS_2_056,SUP003,Balanced,7.26,10,84,81,87,20,7000
FOODS_2_342,SUP005,Balanced,5.81,8,88,80,90,24,7000
FOODS_2_342,SUP001,Strategic,6.97,10,97,94,98,11,10000
FOODS_2_342,SUP010,Emergency,7.96,2,85,83,86,11,3000
FOODS_2_342,SUP002,Strategic,6.68,9,97,94,95,7,10000
HOUSEHOLD_1_100,SUP010,Emergency,11.32,2,85,83,86,11,3000
HOUSEHOLD_1_100,SUP003,Balanced,8.44,10,84,81,87,20,7000
HOUSEHOLD_1_100,SUP001,Strategic,9.38,10,97,94,98,11,10000
HOUSEHOLD_1_100,SUP005,Balanced,8.43,8,88,80,90,24,7000
FOODS_2_194,SUP003,Balanced,7.04,10,84,81,87,20,7000
FOODS_2_194,SUP002,Strategic,7.92,9,97,94,95,7,10000
FOODS_2_194,SUP009,Emergency,10.43,4,91,91,97,12,3000
FOODS_2_194,SUP005,Balanced,6.98,8,88,80,90,24,7000
HOUSEHOLD_1_068,SUP004,Balanced,7.08,6,84,80,91,27,7000
HOUSEHOLD_1_068,SUP002,Strategic,8.18,9,97,94,95,7,10000
HOUSEHOLD_1_068,SUP001,Strategic,8.15,10,97,94,98,11,10000
HOUSEHOLD_1_068,SUP003,Balanced,7.29,10,84,81,87,20,7000
FOODS_1_055,SUP003,Balanced,4.48,10,84,81,87,20,7000
FOODS_1_055,SUP010,Emergency,5.57,2,85,83,86,11,3000
FOODS_1_055,SUP004,Balanced,4.12,6,84,80,91,27,7000
FOODS_1_055,SUP002,Strategic,4.88,9,97,94,95,7,10000
FOODS_1_218,SUP005,Balanced,1.01,8,88,80,90,24,7000
FOODS_1_218,SUP003,Balanced,1.0,10,84,81,87,20,7000
FOODS_1_218,SUP002,Strategic,1.07,9,97,94,95,7,10000
FOODS_1_218,SUP001,Strategic,1.12,10,97,94,98,11,10000
HOUSEHOLD_1_040,SUP009,Emergency,6.56,4,91,91,97,12,3000
HOUSEHOLD_1_040,SUP002,Strategic,5.2,9,97,94,95,7,10000
HOUSEHOLD_1_040,SUP003,Balanced,4.86,10,84,81,87,20,7000
HOUSEHOLD_1_040,SUP010,Emergency,6.7,2,85,83,86,11,3000
HOUSEHOLD_1_473,SUP004,Balanced,2.18,6,84,80,91,27,7000
HOUSEHOLD_1_473,SUP009,Emergency,3.18,4,91,91,97,12,3000
HOUSEHOLD_1_473,SUP002,Strategic,2.54,9,97,94,95,7,10000
HOUSEHOLD_1_473,SUP001,Strategic,2.43,10,97,94,98,11,10000
FOODS_1_110,SUP010,Emergency,2.69,2,85,83,86,11,3000
FOODS_1_110,SUP005,Balanced,2.02,8,88,80,90,24,7000
FOODS_1_110,SUP004,Balanced,1.96,6,84,80,91,27,7000
FOODS_1_110,SUP001,Strategic,2.37,10,97,94,98,11,10000
FOODS_2_233,SUP004,Balanced,4.68,6,84,80,91,27,7000
FOODS_2_233,SUP009,Emergency,6.54,4,91,91,97,12,3000
FOODS_2_233,SUP001,Strategic,5.0,10,97,94,98,11,10000
FOODS_2_233,SUP010,Emergency,5.98,2,85,83,86,11,3000
HOUSEHOLD_1_038,SUP009,Emergency,7.71,4,91,91,97,12,3000
HOUSEHOLD_1_038,SUP002,Strategic,5.87,9,97,94,95,7,10000
HOUSEHOLD_1_038,SUP003,Balanced,5.53,10,84,81,87,20,7000
HOUSEHOLD_1_038,SUP004,Balanced,5.5,6,84,80,91,27,7000
FOODS_2_184,SUP004,Balanced,4.94,6,84,80,91,27,7000
FOODS_2_184,SUP003,Balanced,4.98,10,84,81,87,20,7000
FOODS_2_184,SUP002,Strategic,5.39,9,97,94,95,7,10000
FOODS_2_184,SUP001,Strategic,5.63,10,97,94,98,11,10000
FOODS_1_099,SUP009,Emergency,1.46,4,91,91,97,12,3000
FOODS_1_099,SUP003,Balanced,0.97,10,84,81,87,20,7000
FOODS_1_099,SUP001,Strategic,1.12,10,97,94,98,11,10000
FOODS_1_099,SUP002,Strategic,1.05,9,97,94,95,7,10000
FOODS_2_241,SUP001,Strategic,2.87,10,97,94,98,11,10000
FOODS_2_241,SUP004,Balanced,2.52,6,84,80,91,27,7000
FOODS_2_241,SUP009,Emergency,3.31,4,91,91,97,12,3000
FOODS_2_241,SUP005,Balanced,2.48,8,88,80,90,24,7000
FOODS_2_173,SUP003,Balanced,9.01,10,84,81,87,20,7000
FOODS_2_173,SUP010,Emergency,12.11,2,85,83,86,11,3000
FOODS_2_173,SUP004,Balanced,8.64,6,84,80,91,27,7000
FOODS_2_173,SUP002,Strategic,9.92,9,97,94,95,7,10000
FOODS_2_299,SUP001,Strategic,2.36,10,97,94,98,11,10000
FOODS_2_299,SUP009,Emergency,2.98,4,91,91,97,12,3000
FOODS_2_299,SUP004,Balanced,2.14,6,84,80,91,27,7000
FOODS_2_299,SUP005,Balanced,2.05,8,88,80,90,24,7000
HOUSEHOLD_1_249,SUP009,Emergency,11.15,4,91,91,97,12,3000
HOUSEHOLD_1_249,SUP005,Balanced,8.4,8,88,80,90,24,7000
HOUSEHOLD_1_249,SUP004,Balanced,8.05,6,84,80,91,27,7000
HOUSEHOLD_1_249,SUP001,Strategic,9.08,10,97,94,98,11,10000
HOUSEHOLD_1_539,SUP003,Balanced,4.16,10,84,81,87,20,7000
HOUSEHOLD_1_539,SUP004,Balanced,3.91,6,84,80,91,27,7000
HOUSEHOLD_1_539,SUP001,Strategic,4.44,10,97,94,98,11,10000
HOUSEHOLD_1_539,SUP009,Emergency,5.54,4,91,91,97,12,3000
HOUSEHOLD_1_169,SUP002,Strategic,3.43,9,97,94,95,7,10000
HOUSEHOLD_1_169,SUP009,Emergency,4.28,4,91,91,97,12,3000
HOUSEHOLD_1_169,SUP001,Strategic,3.6,10,97,94,98,11,10000
HOUSEHOLD_1_169,SUP005,Balanced,3.01,8,88,80,90,24,7000
FOODS_1_085,SUP004,Balanced,0.98,6,84,80,91,27,7000
FOODS_1_085,SUP009,Emergency,1.35,4,91,91,97,12,3000
FOODS_1_085,SUP002,Strategic,1.1,9,97,94,95,7,10000
FOODS_1_085,SUP001,Strategic,1.15,10,97,94,98,11,10000
HOUSEHOLD_1_292,SUP010,Emergency,9.24,2,85,83,86,11,3000
HOUSEHOLD_1_292,SUP003,Balanced,6.39,10,84,81,87,20,7000
HOUSEHOLD_1_292,SUP005,Balanced,6.75,8,88,80,90,24,7000
HOUSEHOLD_1_292,SUP001,Strategic,7.66,10,97,94,98,11,10000
HOUSEHOLD_1_294,SUP002,Strategic,2.21,9,97,94,95,7,10000
HOUSEHOLD_1_294,SUP004,Balanced,2.1,6,84,80,91,27,7000
HOUSEHOLD_1_294,SUP001,Strategic,2.41,10,97,94,98,11,10000
HOUSEHOLD_1_294,SUP005,Balanced,1.97,8,88,80,90,24,7000
HOUSEHOLD_1_541,SUP001,Strategic,8.13,10,97,94,98,11,10000
HOUSEHOLD_1_541,SUP005,Balanced,7.25,8,88,80,90,24,7000
HOUSEHOLD_1_541,SUP003,Balanced,6.89,10,84,81,87,20,7000
HOUSEHOLD_1_541,SUP004,Balanced,6.9,6,84,80,91,27,7000
FOODS_2_078,SUP004,Balanced,10.0,6,84,80,91,27,7000
FOODS_2_078,SUP002,Strategic,11.18,9,97,94,95,7,10000
FOODS_2_078,SUP001,Strategic,11.3,10,97,94,98,11,10000
FOODS_2_078,SUP005,Balanced,9.82,8,88,80,90,24,7000
HOUSEHOLD_1_050,SUP010,Emergency,5.09,2,85,83,86,11,3000
HOUSEHOLD_1_050,SUP009,Emergency,5.34,4,91,91,97,12,3000
HOUSEHOLD_1_050,SUP001,Strategic,4.21,10,97,94,98,11,10000
HOUSEHOLD_1_050,SUP003,Balanced,4.02,10,84,81,87,20,7000
HOUSEHOLD_1_086,SUP005,Balanced,5.07,8,88,80,90,24,7000
HOUSEHOLD_1_086,SUP009,Emergency,6.97,4,91,91,97,12,3000
HOUSEHOLD_1_086,SUP003,Balanced,5.2,10,84,81,87,20,7000
HOUSEHOLD_1_086,SUP002,Strategic,5.67,9,97,94,95,7,10000
HOUSEHOLD_1_051,SUP009,Emergency,4.23,4,91,91,97,12,3000
HOUSEHOLD_1_051,SUP005,Balanced,3.04,8,88,80,90,24,7000
HOUSEHOLD_1_051,SUP010,Emergency,4.17,2,85,83,86,11,3000
HOUSEHOLD_1_051,SUP002,Strategic,3.27,9,97,94,95,7,10000
HOUSEHOLD_1_130,SUP002,Strategic,6.92,9,97,94,95,7,10000
HOUSEHOLD_1_130,SUP003,Balanced,6.41,10,84,81,87,20,7000
HOUSEHOLD_1_130,SUP004,Balanced,6.33,6,84,80,91,27,7000
HOUSEHOLD_1_130,SUP001,Strategic,7.24,10,97,94,98,11,10000
FOODS_2_112,SUP002,Strategic,3.58,9,97,94,95,7,10000
FOODS_2_112,SUP005,Balanced,3.45,8,88,80,90,24,7000
FOODS_2_112,SUP004,Balanced,3.56,6,84,80,91,27,7000
FOODS_2_112,SUP010,Emergency,4.87,2,85,83,86,11,3000
FOODS_2_346,SUP001,Strategic,2.87,10,97,94,98,11,10000
FOODS_2_346,SUP002,Strategic,2.63,9,97,94,95,7,10000
FOODS_2_346,SUP005,Balanced,2.42,8,88,80,90,24,7000
FOODS_2_346,SUP009,Emergency,3.51,4,91,91,97,12,3000
FOODS_2_380,SUP004,Balanced,4.88,6,84,80,91,27,7000
FOODS_2_380,SUP005,Balanced,5.26,8,88,80,90,24,7000
FOODS_2_380,SUP001,Strategic,5.92,10,97,94,98,11,10000
FOODS_2_380,SUP009,Emergency,6.99,4,91,91,97,12,3000
FOODS_1_183,SUP005,Balanced,3.09,8,88,80,90,24,7000
FOODS_1_183,SUP002,Strategic,3.2,9,97,94,95,7,10000
FOODS_1_183,SUP009,Emergency,4.32,4,91,91,97,12,3000
FOODS_1_183,SUP003,Balanced,3.21,10,84,81,87,20,7000
HOUSEHOLD_1_418,SUP004,Balanced,0.98,6,84,80,91,27,7000
HOUSEHOLD_1_418,SUP010,Emergency,1.37,2,85,83,86,11,3000
HOUSEHOLD_1_418,SUP002,Strategic,1.1,9,97,94,95,7,10000
HOUSEHOLD_1_418,SUP001,Strategic,1.11,10,97,94,98,11,10000
HOUSEHOLD_1_079,SUP010,Emergency,6.96,2,85,83,86,11,3000
HOUSEHOLD_1_079,SUP009,Emergency,7.1,4,91,91,97,12,3000
HOUSEHOLD_1_079,SUP005,Balanced,4.89,8,88,80,90,24,7000
HOUSEHOLD_1_079,SUP003,Balanced,4.96,10,84,81,87,20,7000
FOODS_1_086,SUP010,Emergency,2.6,2,85,83,86,11,3000
FOODS_1_086,SUP003,Balanced,1.93,10,84,81,87,20,7000
FOODS_1_086,SUP004,Balanced,1.75,6,84,80,91,27,7000
FOODS_1_086,SUP002,Strategic,1.98,9,97,94,95,7,10000
HOUSEHOLD_1_334,SUP003,Balanced,1.04,10,84,81,87,20,7000
HOUSEHOLD_1_334,SUP002,Strategic,1.12,9,97,94,95,7,10000
HOUSEHOLD_1_334,SUP010,Emergency,1.41,2,85,83,86,11,3000
HOUSEHOLD_1_334,SUP005,Balanced,1.02,8,88,80,90,24,7000
FOODS_1_217,SUP001,Strategic,4.26,10,97,94,98,11,10000
FOODS_1_217,SUP004,Balanced,3.48,6,84,80,91,27,7000
FOODS_1_217,SUP002,Strategic,3.97,9,97,94,95,7,10000
FOODS_1_217,SUP009,Emergency,5.18,4,91,91,97,12,3000
FOODS_1_173,SUP005,Balanced,2.07,8,88,80,90,24,7000
FOODS_1_173,SUP004,Balanced,2.02,6,84,80,91,27,7000
FOODS_1_173,SUP002,Strategic,2.18,9,97,94,95,7,10000
FOODS_1_173,SUP001,Strategic,2.42,10,97,94,98,11,10000
