item_id,available_inventory,forecast_7d,forecast_30d,gap_7d,gap_30d,shortage_quantity,days_until_stockout,projected_stockout_date,inventory_risk_score,procurement_priority,procurement_alert,procurement_trigger,procurement_category,procurement_reason,recommended_po_qty,revenue_at_risk
HOUSEHOLD_1_410,69,56.2884,232.4815,7.3134000000000015,183.50650000000002,184,8.9,2026-06-15,76.7,High,NO,YES,Urgent,Forecast Shortage; Impending Stockout,184,782.53
FOODS_2_101,37,15.7843,65.841,-12.7467,37.30999999999999,37,16.9,2026-06-23,53.2,Medium,NO,YES,Planned,Forecast Shortage,37,221.26
HOUSEHOLD_1_457,18,11.642,42.7299,-0.45500000000000185,30.6329,31,12.6,2026-06-19,65.4,High,NO,YES,Urgent,Forecast Shortage; Impending Stockout,31,313.13
HOUSEHOLD_1_373,116,18.6286,70.0083,-85.2264,-33.8467,0,49.7,2026-07-26,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_2_181,158,31.1659,132.8573,-110.74510000000001,-9.053699999999992,0,35.7,2026-07-12,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
HOUSEHOLD_1_304,118,31.7497,136.2767,-73.5373,30.9897,31,26.0,2026-07-03,40.0,Medium,NO,NO,Planned,Forecast Shortage,31,67.46
FOODS_2_056,50,10.9673,41.949,-31.2927,-0.31099999999999994,0,35.8,2026-07-12,37.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_2_342,55,14.244299999999999,55.8325,-32.3617,9.226500000000001,9,29.6,2026-07-06,43.4,Medium,NO,NO,Planned,Forecast Shortage,9,53.82
HOUSEHOLD_1_100,40,11.1966,42.6773,-21.9464,9.534300000000002,10,28.1,2026-07-05,46.2,Medium,NO,NO,Planned,Forecast Shortage,10,79.7
FOODS_2_194,25,23.1081,85.0351,8.442099999999996,70.3691,70,8.8,2026-06-15,77.6,High,NO,YES,Urgent,Forecast Shortage; Impending Stockout,70,480.35
HOUSEHOLD_1_068,44,13.528799999999999,51.7789,-23.1502,15.099899999999998,15,25.5,2026-07-02,48.4,Medium,NO,NO,Planned,Forecast Shortage,15,104.55
FOODS_1_055,51,24.4985,86.56700000000001,-6.332499999999996,55.736000000000004,56,17.7,2026-06-24,70.7,High,NO,YES,Planned,Forecast Shortage,56,233.47
FOODS_1_218,301,50.1228,245.3952,-215.3922,-20.119799999999998,0,36.8,2026-07-13,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
HOUSEHOLD_1_040,26,15.4872,64.0596,-2.5478000000000023,46.02460000000001,46,12.2,2026-06-19,59.3,Medium,NO,YES,Urgent,Forecast Shortage; Impending Stockout,46,218.22
HOUSEHOLD_1_473,45,32.5383,136.724,-1.5486999999999966,102.637,103,9.9,2026-06-16,60.9,High,YES,YES,Urgent,Forecast Shortage; Below Reorder Point; Impending Stockout,103,224.16
FOODS_1_110,136,38.6671,157.5362,-74.05590000000001,44.813199999999995,45,25.9,2026-07-02,48.4,Medium,NO,NO,Planned,Forecast Shortage,45,87.27
FOODS_2_233,43,12.902,51.730199999999996,-21.698,17.130199999999995,17,24.9,2026-07-01,43.9,Medium,NO,NO,Planned,Forecast Shortage,17,76.16
HOUSEHOLD_1_038,64,13.5238,53.9099,-43.4452,-3.059100000000001,0,35.6,2026-07-12,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_2_184,60,9.830400000000001,38.1538,-42.3976,-14.074200000000005,0,47.2,2026-07-24,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_1_099,182,50.4101,230.3413,-99.8459,80.08529999999996,80,23.7,2026-06-30,44.8,Medium,NO,NO,Planned,Forecast Shortage,80,78.4
FOODS_2_241,117,46.2064,180.4938,-47.467600000000004,86.81979999999999,87,19.4,2026-06-26,56.3,Medium,NO,YES,Planned,Forecast Shortage,87,207.06
FOODS_2_173,26,8.843,32.4958,-11.635,12.017800000000001,12,24.0,2026-07-01,51.4,Medium,NO,NO,Planned,Forecast Shortage,12,107.76
FOODS_2_299,107,23.482100000000003,88.732,-66.9299,-1.6800000000000068,0,36.2,2026-07-13,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
HOUSEHOLD_1_249,27,6.0201,22.3685,-15.334900000000001,1.0135000000000005,1,36.2,2026-07-13,38.8,Low,NO,NO,Monitor,Forecast Shortage,1,7.97
HOUSEHOLD_1_539,39,18.821,73.9683,-11.769999999999996,43.377300000000005,43,15.8,2026-06-22,54.0,Medium,NO,YES,Planned,Forecast Shortage,43,170.71
HOUSEHOLD_1_169,32,16.919900000000002,65.132,-4.140099999999997,44.072,44,14.7,2026-06-21,57.6,Medium,YES,YES,Planned,Forecast Shortage; Below Reorder Point,44,129.62
FOODS_1_085,265,47.190400000000004,210.4078,-190.6126,-27.39519999999999,0,37.8,2026-07-14,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
HOUSEHOLD_1_292,31,11.8911,45.1756,-12.1269,21.157600000000002,21,20.6,2026-06-27,55.2,Medium,NO,YES,Planned,Forecast Shortage,21,136.08
HOUSEHOLD_1_294,157,45.8242,183.797,-97.4448,40.52799999999999,41,25.6,2026-07-02,39.9,Low,NO,NO,Planned,Forecast Shortage,41,82.57
HOUSEHOLD_1_541,23,3.0095,18.7587,-12.9195,2.8297000000000025,3,36.8,2026-07-13,43.1,Medium,NO,NO,Monitor,Forecast Shortage,3,20.99
FOODS_2_078,21,4.1328,18.5001,-11.2502,3.1171000000000006,3,34.1,2026-07-11,51.2,Medium,NO,NO,Monitor,Forecast Shortage,3,29.83
HOUSEHOLD_1_050,18,14.513,58.7902,5.427,49.7042,50,9.2,2026-06-16,64.5,High,YES,YES,Urgent,Forecast Shortage; Below Reorder Point; Impending Stockout,50,187.34
HOUSEHOLD_1_086,41,10.3869,39.6822,-21.336100000000002,7.959200000000003,8,31.0,2026-07-08,44.9,Medium,NO,NO,Monitor,Forecast Shortage,8,40.11
HOUSEHOLD_1_051,50,24.2502,93.67099999999999,-15.584800000000001,53.835999999999984,54,16.0,2026-06-23,53.8,Medium,NO,YES,Planned,Forecast Shortage,54,159.84
HOUSEHOLD_1_130,32,14.5381,56.5954,-10.5929,31.464399999999998,31,17.0,2026-06-24,58.6,Medium,NO,YES,Planned,Forecast Shortage,31,199.16
FOODS_2_112,74,13.0611,48.9221,-48.8439,-12.9829,0,45.4,2026-07-22,37.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_2_346,100,36.2909,146.5942,-44.0681,66.23519999999999,66,20.5,2026-06-27,54.9,Medium,NO,YES,Planned,Forecast Shortage,66,154.74
FOODS_2_380,32,11.0081,45.7962,-13.840899999999998,20.947199999999995,21,21.0,2026-06-28,49.0,Medium,NO,NO,Planned,Forecast Shortage,21,104.37
FOODS_1_183,75,16.7653,66.2041,-48.1467,1.2920999999999907,1,34.0,2026-07-11,31.6,Low,NO,NO,Monitor,Forecast Shortage,1,2.98
HOUSEHOLD_1_418,165,83.9237,360.7552,-53.895300000000006,222.93619999999999,223,13.7,2026-06-20,55.7,Medium,NO,YES,Urgent,Forecast Shortage; Impending Stockout,223,217.87
HOUSEHOLD_1_079,35,13.0154,48.3034,-15.7686,19.519400000000005,20,21.7,2026-06-28,47.2,Medium,NO,NO,Planned,Forecast Shortage,20,96.95
FOODS_1_086,155,35.8661,156.3679,-100.1669,20.334900000000005,20,29.7,2026-07-06,36.1,Low,NO,NO,Planned,Forecast Shortage,20,35.69
HOUSEHOLD_1_334,151,44.5389,200.5213,-77.7031,78.2793,78,22.6,2026-06-29,46.5,Medium,NO,NO,Planned,Forecast Shortage,78,76.21
FOODS_1_217,75,18.820999999999998,72.7168,-43.299,10.596800000000002,11,30.9,2026-07-07,43.0,Medium,NO,NO,Monitor,Forecast Shortage,11,38.61
FOODS_1_173,107,23.6541,100.3801,-61.971900000000005,14.754099999999994,15,32.0,2026-07-09,43.0,Medium,NO,NO,Monitor,Forecast Shortage,15,29.94
FOODS_2_036,30,18.5042,63.8886,-0.03979999999999961,45.3446,45,14.1,2026-06-21,64.8,High,NO,YES,Planned,Forecast Shortage,45,162.02
HOUSEHOLD_1_387,98,17.4966,69.6684,-70.5144,-18.34259999999999,0,42.2,2026-07-19,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_1_161,270,23.3408,115.1257,-218.4972,-126.7123,0,70.4,2026-08-16,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_2_359,131,20.9629,83.4867,-96.3281,-33.8043,0,47.1,2026-07-24,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_2_074,94,19.5378,75.4497,-60.419200000000004,-4.5072999999999865,0,37.4,2026-07-14,37.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_2_274,31,9.1431,31.7639,-15.681899999999999,6.938899999999997,7,29.3,2026-07-06,45.6,Medium,NO,NO,Planned,Forecast Shortage,7,49.25
FOODS_1_162,138,19.9464,77.6696,-101.4346,-43.7114,0,53.3,2026-07-30,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_2_150,81,17.0795,69.1345,-52.2305,-0.17549999999999955,0,35.1,2026-07-12,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
HOUSEHOLD_1_197,42,11.2964,44.7109,-24.4426,8.971900000000005,9,28.2,2026-07-05,38.9,Low,NO,NO,Planned,Forecast Shortage,9,44.73
HOUSEHOLD_1_328,47,11.0052,43.9611,-28.8208,4.135100000000001,4,32.1,2026-07-09,34.6,Low,NO,NO,Monitor,Forecast Shortage,4,18.98
HOUSEHOLD_1_361,21,34.6965,150.0769,31.682500000000005,147.06289999999998,147,4.2,2026-06-11,70.0,High,YES,YES,Emergency,Forecast Shortage; Below Reorder Point; Impending Stockout,147,276.36
FOODS_1_023,35,14.925899999999999,54.6625,-10.287100000000002,29.4495,29,19.2,2026-06-26,66.0,High,NO,YES,Planned,Forecast Shortage,29,160.0
FOODS_1_018,140,64.51989999999999,279.4763,-50.825100000000006,164.1313,164,15.0,2026-06-22,54.4,Medium,NO,YES,Planned,Forecast Shortage,164,160.72
HOUSEHOLD_1_437,64,26.5533,100.4136,-25.1997,48.6606,49,19.1,2026-06-26,56.4,Medium,NO,YES,Planned,Forecast Shortage,49,151.35
HOUSEHOLD_1_118,275,63.2606,250.5725,-184.5874,2.7244999999999777,3,32.9,2026-07-09,31.5,Low,NO,NO,Monitor,Forecast Shortage,3,2.91
FOODS_2_054,79,19.0094,70.3061,-48.6326,2.664100000000005,3,33.7,2026-07-10,32.7,Low,NO,NO,Monitor,Forecast Shortage,3,8.71
HOUSEHOLD_1_376,10,12.420300000000001,43.6634,8.6023,39.845400000000005,40,6.9,2026-06-13,72.9,High,YES,YES,Emergency,Forecast Shortage; Below Reorder Point; Impending Stockout,40,213.37
HOUSEHOLD_1_370,30,7.7214,29.2378,-16.7006,4.815800000000003,5,30.8,2026-07-07,43.7,Medium,NO,NO,Monitor,Forecast Shortage,5,36.02
FOODS_1_194,37,15.7879,60.5473,-13.2591,31.500299999999996,32,18.3,2026-06-25,57.9,Medium,NO,YES,Planned,Forecast Shortage,32,154.86
HOUSEHOLD_1_408,32,12.2499,44.7697,-13.179099999999998,19.3407,19,21.4,2026-06-28,53.7,Medium,NO,NO,Planned,Forecast Shortage,19,104.12
HOUSEHOLD_1_517,209,56.0286,238.7485,-133.0254,49.694500000000005,50,26.3,2026-07-03,39.3,Low,NO,NO,Planned,Forecast Shortage,50,48.32
FOODS_1_200,205,55.5509,240.7497,-120.04310000000001,65.15569999999997,65,25.5,2026-07-02,41.8,Medium,NO,NO,Planned,Forecast Shortage,65,63.7
HOUSEHOLD_1_014,10,2.443,10.4093,-4.25,3.7163000000000004,4,28.8,2026-07-05,59.2,Medium,NO,NO,Planned,Forecast Shortage,4,71.88
FOODS_1_104,60,11.9916,44.6228,-37.0834,-4.452200000000005,0,40.3,2026-07-17,37.1,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
HOUSEHOLD_1_318,76,23.0462,87.6421,-43.0088,21.587099999999992,22,26.0,2026-07-03,41.0,Medium,NO,NO,Planned,Forecast Shortage,22,65.26
HOUSEHOLD_1_498,71,14.1363,57.0078,-49.002700000000004,-6.131199999999993,0,37.4,2026-07-14,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
HOUSEHOLD_1_119,70,12.9983,51.429899999999996,-48.9957,-10.564100000000003,0,40.8,2026-07-17,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
HOUSEHOLD_1_204,86,27.4478,114.386,-41.2622,45.67599999999999,46,22.6,2026-06-29,53.0,Medium,NO,NO,Planned,Forecast Shortage,46,86.48
FOODS_2_304,51,15.4739,60.3008,-27.4651,17.361800000000002,17,25.4,2026-07-02,48.1,Medium,NO,NO,Planned,Forecast Shortage,17,67.49
HOUSEHOLD_1_465,40,80.2236,348.1887,68.2596,336.2247,336,3.4,2026-06-10,69.5,High,YES,YES,Emergency,Forecast Shortage; Below Reorder Point; Impending Stockout,336,328.27
FOODS_1_152,10,6.663600000000001,23.4942,1.8306000000000004,18.6612,19,12.8,2026-06-19,76.1,High,YES,YES,Urgent,Forecast Shortage; Below Reorder Point; Impending Stockout,19,157.6
HOUSEHOLD_1_055,60,11.8973,45.5495,-41.1797,-7.527499999999996,0,39.5,2026-07-16,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
HOUSEHOLD_1_214,112,27.7651,113.5286,-72.8669,12.896599999999992,13,29.6,2026-07-06,35.5,Low,NO,NO,Planned,Forecast Shortage,13,24.31
HOUSEHOLD_1_291,42,13.2677,51.1413,-20.7203,17.1533,17,24.6,2026-07-01,50.1,Medium,NO,NO,Planned,Forecast Shortage,17,63.46
HOUSEHOLD_1_071,16,21.9023,86.5658,14.9043,79.56779999999999,80,5.5,2026-06-12,67.6,High,YES,YES,Emergency,Forecast Shortage; Below Reorder Point; Impending Stockout,80,174.09
FOODS_2_307,67,18.4879,75.8841,-36.192099999999996,21.20410000000001,21,26.5,2026-07-03,48.0,Medium,NO,NO,Planned,Forecast Shortage,21,53.47
HOUSEHOLD_1_048,84,16.7456,64.8159,-58.2334,-10.1631,0,38.9,2026-07-15,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_2_014,74,14.375,55.9445,-50.186,-8.616500000000002,0,39.7,2026-07-16,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_2_013,82,24.2459,94.9388,-46.908100000000005,23.784800000000004,24,25.9,2026-07-02,41.0,Medium,NO,NO,Planned,Forecast Shortage,24,48.0
HOUSEHOLD_1_369,52,10.7186,41.622299999999996,-33.8654,-2.9617000000000075,0,37.5,2026-07-14,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
HOUSEHOLD_1_282,48,13.522,55.2303,-28.351,13.357300000000002,13,26.1,2026-07-03,40.3,Medium,NO,NO,Planned,Forecast Shortage,13,51.74
FOODS_1_080,18,7.593999999999999,28.7852,-5.422000000000001,15.769199999999998,16,18.8,2026-06-25,66.6,High,NO,YES,Planned,Forecast Shortage,16,121.28
FOODS_2_164,55,12.953199999999999,49.8581,-33.4468,3.4581000000000017,3,33.1,2026-07-10,33.4,Low,NO,NO,Monitor,Forecast Shortage,3,9.37
HOUSEHOLD_1_510,20,9.225,34.9627,-5.253,20.484699999999997,20,17.2,2026-06-24,53.3,Medium,NO,YES,Planned,Forecast Shortage,20,98.85
HOUSEHOLD_1_447,236,39.9474,171.6658,-177.4826,-45.76420000000002,0,41.2,2026-07-18,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_2_360,86,68.5264,271.2892,19.080399999999997,221.84320000000002,222,9.5,2026-06-16,69.7,High,YES,YES,Urgent,Forecast Shortage; Below Reorder Point; Impending Stockout,222,207.57
HOUSEHOLD_1_180,66,16.5464,61.5752,-41.1846,3.8442000000000007,4,32.2,2026-07-09,33.6,Low,NO,NO,Monitor,Forecast Shortage,4,11.87
HOUSEHOLD_1_453,91,16.1085,62.9975,-66.2685,-19.379499999999993,0,43.3,2026-07-20,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_2_325,71,33.0625,135.3518,-20.628500000000003,81.6608,82,15.7,2026-06-22,55.1,Medium,NO,YES,Planned,Forecast Shortage,82,102.15
FOODS_2_315,63,19.355,66.92,-29.564,18.001000000000005,18,28.2,2026-07-05,55.7,Medium,NO,NO,Planned,Forecast Shortage,18,45.0
HOUSEHOLD_1_090,77,10.427900000000001,40.8691,-58.4471,-28.005899999999997,0,56.5,2026-08-02,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_2_139,48,14.149000000000001,48.1922,-23.915999999999997,10.127200000000002,10,29.9,2026-07-06,45.2,Medium,NO,NO,Planned,Forecast Shortage,10,29.8
HOUSEHOLD_1_434,42,17.6307,69.85679999999999,-17.2033,35.02279999999999,35,18.0,2026-06-25,56.8,Medium,NO,YES,Planned,Forecast Shortage,35,138.95
HOUSEHOLD_1_518,23,7.1768,26.8844,-10.9602,8.747399999999999,9,25.7,2026-07-02,50.0,Medium,NO,NO,Planned,Forecast Shortage,9,62.73
FOODS_1_021,131,9.9261,47.271100000000004,-85.5589,-48.213899999999995,0,83.1,2026-08-29,45.0,Medium,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_1_172,77,16.2895,62.6776,-50.826499999999996,-4.4384000000000015,0,36.9,2026-07-13,31.0,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
FOODS_1_046,184,52.040099999999995,219.3759,-112.5459,54.78989999999999,55,25.2,2026-07-02,41.0,Medium,NO,NO,Planned,Forecast Shortage,55,53.9
HOUSEHOLD_1_093,40,12.3254,44.1401,-20.7636,11.051099999999998,11,27.2,2026-07-04,46.8,Medium,NO,NO,Planned,Forecast Shortage,11,43.37
HOUSEHOLD_1_246,29,15.5648,60.595,-4.6752,40.355000000000004,40,14.4,2026-06-21,71.1,High,NO,YES,Planned,Forecast Shortage,40,159.2
FOODS_1_103,11,10.4853,37.8567,5.6263000000000005,32.997699999999995,33,8.7,2026-06-15,71.0,High,YES,YES,Urgent,Forecast Shortage; Below Reorder Point; Impending Stockout,33,139.55
HOUSEHOLD_1_345,41,6.468,27.04,-27.335,-6.762999999999998,0,45.5,2026-07-22,37.1,Low,NO,NO,Monitor,Inventory Healthy,0,0.0
HOUSEHOLD_1_399,34,60.2455,240.9903,44.591499999999996,225.3363,225,4.2,2026-06-11,60.7,High,YES,YES,Emergency,Forecast Shortage; Below Reorder Point; Impending Stockout,225,225.15
FOODS_1_058,53,19.7612,69.6337,-18.6158,31.25670000000001,31,22.8,2026-06-29,47.1,Medium,NO,NO,Planned,Forecast Shortage,31,60.12
FOODS_1_067,64,22.224,71.82600000000001,-26.32,23.28200000000001,23,26.7,2026-07-03,42.2,Medium,NO,NO,Planned,Forecast Shortage,23,45.91
FOODS_2_016,112,33.6282,148.2098,-56.7438,57.837800000000016,58,22.7,2026-06-29,45.1,Medium,NO,NO,Planned,Forecast Shortage,58,72.26
HOUSEHOLD_1_087,12,7.7546,28.8195,1.5495999999999999,22.6145,23,12.5,2026-06-19,60.4,High,YES,YES,Urgent,Forecast Shortage; Below Reorder Point; Impending Stockout,23,102.81
HOUSEHOLD_1_386,51,11.706,44.7043,-32.799,0.19930000000000092,0,34.2,2026-07-11,23.5,Low,NO,NO,Monitor,Forecast Shortage,0,0.0
HOUSEHOLD_1_538,28,10.5792,42.4749,-11.3048,20.590899999999998,21,19.8,2026-06-26,42.8,Medium,NO,YES,Planned,Forecast Shortage,21,73.08
FOODS_2_255,16,7.4645,28.1201,19.176499999999997,39.8321,40,17.1,2026-06-24,77.7,High,YES,YES,Planned,Forecast Shortage; Below Reorder Point,40,107.2
