date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
2014-08-12,11428,Tuesday,4,8,2014,d_1292,,,,,0,1,1
2014-08-13,11428,Wednesday,5,8,2014,d_1293,,,,,0,1,0
2014-08-14,11428,Thursday,6,8,2014,d_1294,,,,,0,0,1
2014-08-15,11428,Friday,7,8,2014,d_1295,,,,,0,1,1
2014-08-16,11429,Saturday,1,8,2014,d_1296,,,,,0,0,0
2014-08-17,11429,Sunday,2,8,2014,d_1297,,,,,0,0,0
2014-08-18,11429,Monday,3,8,2014,d_1298,,,,,0,0,0
2014-08-19,11429,Tuesday,4,8,2014,d_1299,,,,,0,0,0
2014-08-20,11429,Wednesday,5,8,2014,d_1300,,,,,0,0,0
2014-08-21,11429,Thursday,6,8,2014,d_1301,,,,,0,0,0
2014-08-22,11429,Friday,7,8,2014,d_1302,,,,,0,0,0
2014-08-23,11430,Saturday,1,8,2014,d_1303,,,,,0,0,0
2014-08-24,11430,Sunday,2,8,2014,d_1304,,,,,0,0,0
2014-08-25,11430,Monday,3,8,2014,d_1305,,,,,0,0,0
2014-08-26,11430,Tuesday,4,8,2014,d_1306,,,,,0,0,0
2014-08-27,11430,Wednesday,5,8,2014,d_1307,,,,,0,0,0
2014-08-28,11430,Thursday,6,8,2014,d_1308,,,,,0,0,0
2014-08-29,11430,Friday,7,8,2014,d_1309,,,,,0,0,0
2014-08-30,11431,Saturday,1,8,2014,d_1310,,,,,0,0,0
2014-08-31,11431,Sunday,2,8,2014,d_1311,,,,,0,0,0
2014-09-01,11431,Monday,3,9,2014,d_1312,LaborDay,National,,,1,1,0
2014-09-02,11431,Tuesday,4,9,2014,d_1313,,,,,1,0,1
2014-09-03,11431,Wednesday,5,9,2014,d_1314,,,,,1,1,1
2014-09-04,11431,Thursday,6,9,2014,d_1315,,,,,1,0,0
2014-09-05,11431,Friday,7,9,2014,d_1316,,,,,1,1,1
2014-09-06,11432,Saturday,1,9,2014,d_1317,,,,,1,1,1
2014-09-07,11432,Sunday,2,9,2014,d_1318,,,,,1,1,0
2014-09-08,11432,Monday,3,9,2014,d_1319,,,,,1,0,1
2014-09-09,11432,Tuesday,4,9,2014,d_1320,,,,,1,1,1
2014-09-10,11432,Wednesday,5,9,2014,d_1321,,,,,1,0,0
2014-09-11,11432,Thursday,6,9,2014,d_1322,,,,,0,1,1
2014-09-12,11432,Friday,7,9,2014,d_1323,,,,,0,1,1
2014-09-13,11433,Saturday,1,9,2014,d_1324,,,,,0,1,0
2014-09-14,11433,Sunday,2,9,2014,d_1325,,,,,0,0,1
2014-09-15,11433,Monday,3,9,2014,d_1326,,,,,0,1,1
2014-09-16,11433,Tuesday,4,9,2014,d_1327,,,,,0,0,0
2014-09-17,11433,Wednesday,5,9,2014,d_1328,,,,,0,0,0
2014-09-18,11433,Thursday,6,9,2014,d_1329,,,,,0,0,0
2014-09-19,11433,Friday,7,9,2014,d_1330,,,,,0,0,0
2014-09-20,11434,Saturday,1,9,2014,d_1331,,,,,0,0,0
2014-09-21,11434,Sunday,2,9,2014,d_1332,,,,,0,0,0
2014-09-22,11434,Monday,3,9,2014,d_1333,,,,,0,0,0
2014-09-23,11434,Tuesday,4,9,2014,d_1334,,,,,0,0,0
2014-09-24,11434,Wednesday,5,9,2014,d_1335,,,,,0,0,0
2014-09-25,11434,Thursday,6,9,2014,d_1336,,,,,0,0,0
2014-09-26,11434,Friday,7,9,2014,d_1337,,,,,0,0,0
2014-09-27,11435,Saturday,1,9,2014,d_1338,,,,,0,0,0
2014-09-28,11435,Sunday,2,9,2014,d_1339,,,,,0,0,0
2014-09-29,11435,Monday,3,9,2014,d_1340,,,,,0,0,0
2014-09-30,11435,Tuesday,4,9,2014,d_1341,,,,,0,0,0
2014-10-01,11435,Wednesday,5,10,2014,d_1342,,,,,1,1,0
2014-10-02,11435,Thursday,6,10,2014,d_1343,,,,,1,0,1
2014-10-03,11435,Friday,7,10,2014,d_1344,,,,,1,1,1
2014-10-04,11436,Saturday,1,10,2014,d_1345,EidAlAdha,Religious,,,1,0,0
2014-10-05,11436,Sunday,2,10,2014,d_1346,,,,,1,1,1
2014-10-06,11436,Monday,3,10,2014,d_1347,,,,,1,1,1
2014-10-07,11436,Tuesday,4,10,2014,d_1348,,,,,1,1,0
2014-10-08,11436,Wednesday,5,10,2014,d_1349,,,,,1,0,1
2014-10-09,11436,Thursday,6,10,2014,d_1350,,,,,1,1,1
2014-10-10,11436,Friday,7,10,2014,d_1351,,,,,1,0,0
2014-10-11,11437,Saturday,1,10,2014,d_1352,,,,,0,1,1
2014-10-12,11437,Sunday,2,10,2014,d_1353,,,,,0,1,1
2014-10-13,11437,Monday,3,10,2014,d_1354,ColumbusDay,National,,,0,1,0
2014-10-14,11437,Tuesday,4,10,2014,d_1355,,,,,0,0,1
2014-10-15,11437,Wednesday,5,10,2014,d_1356,,,,,0,1,1
2014-10-16,11437,Thursday,6,10,2014,d_1357,,,,,0,0,0
2014-10-17,11437,Friday,7,10,2014,d_1358,,,,,0,0,0
2014-10-18,11438,Saturday,1,10,2014,d_1359,,,,,0,0,0
2014-10-19,11438,Sunday,2,10,2014,d_1360,,,,,0,0,0
2014-10-20,11438,Monday,3,10,2014,d_1361,,,,,0,0,0
2014-10-21,11438,Tuesday,4,10,2014,d_1362,,,,,0,0,0
2014-10-22,11438,Wednesday,5,10,2014,d_1363,,,,,0,0,0
2014-10-23,11438,Thursday,6,10,2014,d_1364,,,,,0,0,0
2014-10-24,11438,Friday,7,10,2014,d_1365,,,,,0,0,0
2014-10-25,11439,Saturday,1,10,2014,d_1366,,,,,0,0,0
2014-10-26,11439,Sunday,2,10,2014,d_1367,,,,,0,0,0
2014-10-27,11439,Monday,3,10,2014,d_1368,,,,,0,0,0
2014-10-28,11439,Tuesday,4,10,2014,d_1369,,,,,0,0,0
2014-10-29,11439,Wednesday,5,10,2014,d_1370,,,,,0,0,0
2014-10-30,11439,Thursday,6,10,2014,d_1371,,,,,0,0,0
2014-10-31,11439,Friday,7,10,2014,d_1372,Halloween,Cultural,,,0,0,0
2014-11-01,11440,Saturday,1,11,2014,d_1373,,,,,1,1,0
2014-11-02,11440,Sunday,2,11,2014,d_1374,,,,,1,0,1
2014-11-03,11440,Monday,3,11,2014,d_1375,,,,,1,1,1
2014-11-04,11440,Tuesday,4,11,2014,d_1376,,,,,1,0,0
2014-11-05,11440,Wednesday,5,11,2014,d_1377,,,,,1,1,1
2014-11-06,11440,Thursday,6,11,2014,d_1378,,,,,1,1,1
2014-11-07,11440,Friday,7,11,2014,d_1379,,,,,1,1,0
2014-11-08,11441,Saturday,1,11,2014,d_1380,,,,,1,0,1
2014-11-09,11441,Sunday,2,11,2014,d_1381,,,,,1,1,1
2014-11-10,11441,Monday,3,11,2014,d_1382,,,,,1,0,0
2014-11-11,11441,Tuesday,4,11,2014,d_1383,VeteransDay,National,,,0,1,1
2014-11-12,11441,Wednesday,5,11,2014,d_1384,,,,,0,1,1
2014-11-13,11441,Thursday,6,11,2014,d_1385,,,,,0,1,0
2014-11-14,11441,Friday,7,11,2014,d_1386,,,,,0,0,1
2014-11-15,11442,Saturday,1,11,2014,d_1387,,,,,0,1,1
2014-11-16,11442,Sunday,2,11,2014,d_1388,,,,,0,0,0
2014-11-17,11442,Monday,3,11,2014,d_1389,,,,,0,0,0
2014-11-18,11442,Tuesday,4,11,2014,d_1390,,,,,0,0,0
2014-11-19,11442,Wednesday,5,11,2014,d_1391,,,,,0,0,0
2014-11-20,11442,Thursday,6,11,2014,d_1392,,,,,0,0,0
2014-11-21,11442,Friday,7,11,2014,d_1393,,,,,0,0,0
2014-11-22,11443,Saturday,1,11,2014,d_1394,,,,,0,0,0
2014-11-23,11443,Sunday,2,11,2014,d_1395,,,,,0,0,0
2014-11-24,11443,Monday,3,11,2014,d_1396,,,,,0,0,0
2014-11-25,11443,Tuesday,4,11,2014,d_1397,,,,,0,0,0
2014-11-26,11443,Wednesday,5,11,2014,d_1398,,,,,0,0,0
2014-11-27,11443,Thursday,6,11,2014,d_1399,Thanksgiving,National,,,0,0,0
2014-11-28,11443,Friday,7,11,2014,d_1400,,,,,0,0,0
2014-11-29,11444,Saturday,1,11,2014,d_1401,,,,,0,0,0
2014-11-30,11444,Sunday,2,11,2014,d_1402,,,,,0,0,0
2014-12-01,11444,Monday,3,12,2014,d_1403,,,,,1,1,0
2014-12-02,11444,Tuesday,4,12,2014,d_1404,,,,,1,0,1
2014-12-03,11444,Wednesday,5,12,2014,d_1405,,,,,1,1,1
2014-12-04,11444,Thursday,6,12,2014,d_1406,,,,,1,0,0
2014-12-05,11444,Friday,7,12,2014,d_1407,,,,,1,1,1
2014-12-06,11445,Saturday,1,12,2014,d_1408,,,,,1,1,1
2014-12-07,11445,Sunday,2,12,2014,d_1409,,,,,1,1,0
2014-12-08,11445,Monday,3,12,2014,d_1410,,,,,1,0,1
2014-12-09,11445,Tuesday,4,12,2014,d_1411,,,,,1,1,1
2014-12-10,11445,Wednesday,5,12,2014,d_1412,,,,,1,0,0
2014-12-11,11445,Thursday,6,12,2014,d_1413,,,,,0,1,1
2014-12-12,11445,Friday,7,12,2014,d_1414,,,,,0,1,1
2014-12-13,11446,Saturday,1,12,2014,d_1415,,,,,0,1,0
2014-12-14,11446,Sunday,2,12,2014,d_1416,,,,,0,0,1
2014-12-15,11446,Monday,3,12,2014,d_1417,,,,,0,1,1
2014-12-16,11446,Tuesday,4,12,2014,d_1418,,,,,0,0,0
2014-12-17,11446,Wednesday,5,12,2014,d_1419,,,,,0,0,0
2014-12-18,11446,Thursday,6,12,2014,d_1420,,,,,0,0,0
2014-12-19,11446,Friday,7,12,2014,d_1421,,,,,0,0,0
2014-12-20,11447,Saturday,1,12,2014,d_1422,,,,,0,0,0
2014-12-21,11447,Sunday,2,12,2014,d_1423,,,,,0,0,0
2014-12-22,11447,Monday,3,12,2014,d_1424,,,,,0,0,0
2014-12-23,11447,Tuesday,4,12,2014,d_1425,,,,,0,0,0
2014-12-24,11447,Wednesday,5,12,2014,d_1426,Chanukah End,Religious,,,0,0,0
2014-12-25,11447,Thursday,6,12,2014,d_1427,Christmas,National,,,0,0,0
2014-12-26,11447,Friday,7,12,2014,d_1428,,,,,0,0,0
2014-12-27,11448,Saturday,1,12,2014,d_1429,,,,,0,0,0
2014-12-28,11448,Sunday,2,12,2014,d_1430,,,,,0,0,0
2014-12-29,11448,Monday,3,12,2014,d_1431,,,,,0,0,0
2014-12-30,11448,Tuesday,4,12,2014,d_1432,,,,,0,0,0
2014-12-31,11448,Wednesday,5,12,2014,d_1433,,,,,0,0,0
2015-01-01,11448,Thursday,6,1,2015,d_1434,NewYear,National,,,1,1,0
2015-01-02,11448,Friday,7,1,2015,d_1435,,,,,1,0,1
2015-01-03,11449,Saturday,1,1,2015,d_1436,,,,,1,1,1
2015-01-04,11449,Sunday,2,1,2015,d_1437,,,,,1,0,0
2015-01-05,11449,Monday,3,1,2015,d_1438,,,,,1,1,1
2015-01-06,11449,Tuesday,4,1,2015,d_1439,,,,,1,1,1
2015-01-07,11449,Wednesday,5,1,2015,d_1440,OrthodoxChristmas,Religious,,,1,1,0
2015-01-08,11449,Thursday,6,1,2015,d_1441,,,,,1,0,1
2015-01-09,11449,Friday,7,1,2015,d_1442,,,,,1,1,1
2015-01-10,11450,Saturday,1,1,2015,d_1443,,,,,1,0,0
2015-01-11,11450,Sunday,2,1,2015,d_1444,,,,,0,1,1
2015-01-12,11450,Monday,3,1,2015,d_1445,,,,,0,1,1
2015-01-13,11450,Tuesday,4,1,2015,d_1446,,,,,0,1,0
2015-01-14,11450,Wednesday,5,1,2015,d_1447,,,,,0,0,1
2015-01-15,11450,Thursday,6,1,2015,d_1448,,,,,0,1,1
2015-01-16,11450,Friday,7,1,2015,d_1449,,,,,0,0,0
2015-01-17,11451,Saturday,1,1,2015,d_1450,,,,,0,0,0
2015-01-18,11451,Sunday,2,1,2015,d_1451,,,,,0,0,0
2015-01-19,11451,Monday,3,1,2015,d_1452,MartinLutherKingDay,National,,,0,0,0
2015-01-20,11451,Tuesday,4,1,2015,d_1453,,,,,0,0,0
2015-01-21,11451,Wednesday,5,1,2015,d_1454,,,,,0,0,0
2015-01-22,11451,Thursday,6,1,2015,d_1455,,,,,0,0,0
2015-01-23,11451,Friday,7,1,2015,d_1456,,,,,0,0,0
2015-01-24,11452,Saturday,1,1,2015,d_1457,,,,,0,0,0
2015-01-25,11452,Sunday,2,1,2015,d_1458,,,,,0,0,0
2015-01-26,11452,Monday,3,1,2015,d_1459,,,,,0,0,0
2015-01-27,11452,Tuesday,4,1,2015,d_1460,,,,,0,0,0
2015-01-28,11452,Wednesday,5,1,2015,d_1461,,,,,0,0,0
2015-01-29,11452,Thursday,6,1,2015,d_1462,,,,,0,0,0
2015-01-30,11452,Friday,7,1,2015,d_1463,,,,,0,0,0
2015-01-31,11501,Saturday,1,1,2015,d_1464,,,,,0,0,0
2015-02-01,11501,Sunday,2,2,2015,d_1465,SuperBowl,Sporting,,,1,1,0
2015-02-02,11501,Monday,3,2,2015,d_1466,,,,,1,0,1
2015-02-03,11501,Tuesday,4,2,2015,d_1467,,,,,1,1,1
2015-02-04,11501,Wednesday,5,2,2015,d_1468,,,,,1,0,0
2015-02-05,11501,Thursday,6,2,2015,d_1469,,,,,1,1,1
2015-02-06,11501,Friday,7,2,2015,d_1470,,,,,1,1,1
2015-02-07,11502,Saturday,1,2,2015,d_1471,,,,,1,1,0
2015-02-08,11502,Sunday,2,2,2015,d_1472,,,,,1,0,1
2015-02-09,11502,Monday,3,2,2015,d_1473,,,,,1,1,1
2015-02-10,11502,Tuesday,4,2,2015,d_1474,,,,,1,0,0
2015-02-11,11502,Wednesday,5,2,2015,d_1475,,,,,0,1,1
2015-02-12,11502,Thursday,6,2,2015,d_1476,,,,,0,1,1
2015-02-13,11502,Friday,7,2,2015,d_1477,,,,,0,1,0
2015-02-14,11503,Saturday,1,2,2015,d_1478,ValentinesDay,Cultural,,,0,0,1
2015-02-15,11503,Sunday,2,2,2015,d_1479,,,,,0,1,1
2015-02-16,11503,Monday,3,2,2015,d_1480,PresidentsDay,National,,,0,0,0
2015-02-17,11503,Tuesday,4,2,2015,d_1481,,,,,0,0,0
2015-02-18,11503,Wednesday,5,2,2015,d_1482,LentStart,Religious,,,0,0,0
2015-02-19,11503,Thursday,6,2,2015,d_1483,,,,,0,0,0
2015-02-20,11503,Friday,7,2,2015,d_1484,,,,,0,0,0
2015-02-21,11504,Saturday,1,2,2015,d_1485,,,,,0,0,0
2015-02-22,11504,Sunday,2,2,2015,d_1486,,,,,0,0,0
2015-02-23,11504,Monday,3,2,2015,d_1487,,,,,0,0,0
2015-02-24,11504,Tuesday,4,2,2015,d_1488,,,,,0,0,0
2015-02-25,11504,Wednesday,5,2,2015,d_1489,LentWeek2,Religious,,,0,0,0
2015-02-26,11504,Thursday,6,2,2015,d_1490,,,,,0,0,0
2015-02-27,11504,Friday,7,2,2015,d_1491,,,,,0,0,0
2015-02-28,11505,Saturday,1,2,2015,d_1492,,,,,0,0,0
2015-03-01,11505,Sunday,2,3,2015,d_1493,,,,,1,1,0
2015-03-02,11505,Monday,3,3,2015,d_1494,,,,,1,0,1
2015-03-03,11505,Tuesday,4,3,2015,d_1495,,,,,1,1,1
2015-03-04,11505,Wednesday,5,3,2015,d_1496,,,,,1,0,0
2015-03-05,11505,Thursday,6,3,2015,d_1497,Purim End,Religious,,,1,1,1
2015-03-06,11505,Friday,7,3,2015,d_1498,,,,,1,1,1
2015-03-07,11506,Saturday,1,3,2015,d_1499,,,,,1,1,0
2015-03-08,11506,Sunday,2,3,2015,d_1500,,,,,1,0,1
2015-03-09,11506,Monday,3,3,2015,d_1501,,,,,1,1,1
2015-03-10,11506,Tuesday,4,3,2015,d_1502,,,,,1,0,0
2015-03-11,11506,Wednesday,5,3,2015,d_1503,,,,,0,1,1
2015-03-12,11506,Thursday,6,3,2015,d_1504,,,,,0,1,1
2015-03-13,11506,Friday,7,3,2015,d_1505,,,,,0,1,0
2015-03-14,11507,Saturday,1,3,2015,d_1506,,,,,0,0,1
2015-03-15,11507,Sunday,2,3,2015,d_1507,,,,,0,1,1
2015-03-16,11507,Monday,3,3,2015,d_1508,,,,,0,0,0
2015-03-17,11507,Tuesday,4,3,2015,d_1509,StPatricksDay,Cultural,,,0,0,0
2015-03-18,11507,Wednesday,5,3,2015,d_1510,,,,,0,0,0
2015-03-19,11507,Thursday,6,3,2015,d_1511,,,,,0,0,0
2015-03-20,11507,Friday,7,3,2015,d_1512,,,,,0,0,0
2015-03-21,11508,Saturday,1,3,2015,d_1513,,,,,0,0,0
2015-03-22,11508,Sunday,2,3,2015,d_1514,,,,,0,0,0
2015-03-23,11508,Monday,3,3,2015,d_1515,,,,,0,0,0
2015-03-24,11508,Tuesday,4,3,2015,d_1516,,,,,0,0,0
2015-03-25,11508,Wednesday,5,3,2015,d_1517,,,,,0,0,0
2015-03-26,11508,Thursday,6,3,2015,d_1518,,,,,0,0,0
2015-03-27,11508,Friday,7,3,2015,d_1519,,,,,0,0,0
2015-03-28,11509,Saturday,1,3,2015,d_1520,,,,,0,0,0
2015-03-29,11509,Sunday,2,3,2015,d_1521,,,,,0,0,0
2015-03-30,11509,Monday,3,3,2015,d_1522,,,,,0,0,0
2015-03-31,11509,Tuesday,4,3,2015,d_1523,,,,,0,0,0
2015-04-01,11509,Wednesday,5,4,2015,d_1524,,,,,1,1,0
2015-04-02,11509,Thursday,6,4,2015,d_1525,,,,,1,0,1
2015-04-03,11509,Friday,7,4,2015,d_1526,,,,,1,1,1
2015-04-04,11510,Saturday,1,4,2015,d_1527,,,,,1,0,0
2015-04-05,11510,Sunday,2,4,2015,d_1528,Easter,Cultural,,,1,1,1
2015-04-06,11510,Monday,3,4,2015,d_1529,,,,,1,1,1
2015-04-07,11510,Tuesday,4,4,2015,d_1530,,,,,1,1,0
2015-04-08,11510,Wednesday,5,4,2015,d_1531,,,,,1,0,1
2015-04-09,11510,Thursday,6,4,2015,d_1532,,,,,1,1,1
2015-04-10,11510,Friday,7,4,2015,d_1533,,,,,1,0,0
2015-04-11,11511,Saturday,1,4,2015,d_1534,Pesach End,Religious,,,0,1,1
2015-04-12,11511,Sunday,2,4,2015,d_1535,OrthodoxEaster,Religious,,,0,1,1
2015-04-13,11511,Monday,3,4,2015,d_1536,,,,,0,1,0
2015-04-14,11511,Tuesday,4,4,2015,d_1537,,,,,0,0,1
2015-04-15,11511,Wednesday,5,4,2015,d_1538,,,,,0,1,1
2015-04-16,11511,Thursday,6,4,2015,d_1539,,,,,0,0,0
2015-04-17,11511,Friday,7,4,2015,d_1540,,,,,0,0,0
2015-04-18,11512,Saturday,1,4,2015,d_1541,,,,,0,0,0
2015-04-19,11512,Sunday,2,4,2015,d_1542,,,,,0,0,0
2015-04-20,11512,Monday,3,4,2015,d_1543,,,,,0,0,0
2015-04-21,11512,Tuesday,4,4,2015,d_1544,,,,,0,0,0
2015-04-22,11512,Wednesday,5,4,2015,d_1545,,,,,0,0,0
2015-04-23,11512,Thursday,6,4,2015,d_1546,,,,,0,0,0
2015-04-24,11512,Friday,7,4,2015,d_1547,,,,,0,0,0
2015-04-25,11513,Saturday,1,4,2015,d_1548,,,,,0,0,0
2015-04-26,11513,Sunday,2,4,2015,d_1549,,,,,0,0,0
2015-04-27,11513,Monday,3,4,2015,d_1550,,,,,0,0,0
2015-04-28,11513,Tuesday,4,4,2015,d_1551,,,,,0,0,0
2015-04-29,11513,Wednesday,5,4,2015,d_1552,,,,,0,0,0
2015-04-30,11513,Thursday,6,4,2015,d_1553,,,,,0,0,0
2015-05-01,11513,Friday,7,5,2015,d_1554,,,,,1,1,0
2015-05-02,11514,Saturday,1,5,2015,d_1555,,,,,1,0,1
2015-05-03,11514,Sunday,2,5,2015,d_1556,,,,,1,1,1
2015-05-04,11514,Monday,3,5,2015,d_1557,,,,,1,0,0
2015-05-05,11514,Tuesday,4,5,2015,d_1558,Cinco De Mayo,Cultural,,,1,1,1
2015-05-06,11514,Wednesday,5,5,2015,d_1559,,,,,1,1,1
2015-05-07,11514,Thursday,6,5,2015,d_1560,,,,,1,1,0
2015-05-08,11514,Friday,7,5,2015,d_1561,,,,,1,0,1
2015-05-09,11515,Saturday,1,5,2015,d_1562,,,,,1,1,1
2015-05-10,11515,Sunday,2,5,2015,d_1563,Mother's day,Cultural,,,1,0,0
2015-05-11,11515,Monday,3,5,2015,d_1564,,,,,0,1,1
2015-05-12,11515,Tuesday,4,5,2015,d_1565,,,,,0,1,1
2015-05-13,11515,Wednesday,5,5,2015,d_1566,,,,,0,1,0
2015-05-14,11515,Thursday,6,5,2015,d_1567,,,,,0,0,1
2015-05-15,11515,Friday,7,5,2015,d_1568,,,,,0,1,1
2015-05-16,11516,Saturday,1,5,2015,d_1569,,,,,0,0,0
2015-05-17,11516,Sunday,2,5,2015,d_1570,,,,,0,0,0
2015-05-18,11516,Monday,3,5,2015,d_1571,,,,,0,0,0
2015-05-19,11516,Tuesday,4,5,2015,d_1572,,,,,0,0,0
2015-05-20,11516,Wednesday,5,5,2015,d_1573,,,,,0,0,0
2015-05-21,11516,Thursday,6,5,2015,d_1574,,,,,0,0,0
2015-05-22,11516,Friday,7,5,2015,d_1575,,,,,0,0,0
2015-05-23,11517,Saturday,1,5,2015,d_1576,,,,,0,0,0
2015-05-24,11517,Sunday,2,5,2015,d_1577,,,,,0,0,0
2015-05-25,11517,Monday,3,5,2015,d_1578,MemorialDay,National,,,0,0,0
